INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
17 SPENCER STREET,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017160018,06/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/19/2016,996473,193713
92-32 UNION HALL STREET,QUEENS,12 QUEENS,Precinct 103,27,4101010027,11/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1040354,195744
207 STARR STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031880056,12/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,1005533,196143
227 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002700032,10/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/27/2017,987461,198963
6 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017220040,10/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/26/2017,1000138,233131
373 5 AVENUE,MANHATTAN,05 MANHATTAN,Unspecified,04,1008650001,07/03/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/25/2017,988683,212228
1355 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,07,1019660107,08/10/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/14/2016,996480,235833
36-51 MAIN STREET,QUEENS,07 QUEENS,Precinct 109,20,4049770006,09/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2016,1030932,217006
1267 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047810074,08/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2016,1003879,172987
5601 AVENUE L,BROOKLYN,18 BROOKLYN,Precinct 63,46,3078360008,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/23/2016,1006055,166603
43 GEORGE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031530031,09/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1003181,194730
300 SHEFFIELD AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3037530008,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1013002,183318
24-02 82 STREET,QUEENS,03 QUEENS,Precinct 115,22,4010450010,08/31/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/14/2016,1015545,217865
129-04 14 AVENUE,QUEENS,07 QUEENS,Precinct 109,19,4040970005,07/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,1028781,225545
6201 15 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3055300001,07/12/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/07/2016,985524,166964
2724 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018760020,08/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,993080,230755
195-14 47 AVENUE,QUEENS,11 QUEENS,Precinct 111,20,4056140036,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,1043593,213525
160 ROGERS AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3012530034,08/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,997236,183755
1797 MONTGOMERY AVENUE,BRONX,05 BRONX,Precinct 46,14,2028770527,06/13/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/11/2016,1007288,249592
337 WEST BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004750001,04/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/30/2016,983251,202526
420 MORGAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028780006,08/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2016,1001689,201029
97 GREEN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025120001,08/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2016,996032,206513
486 ATLANTIC AVENUE,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001850010,05/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2016,989255,189133
215-11 HARDING EXPRESSWAY,QUEENS,11 QUEENS,Precinct 111,23,4074660036,04/12/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/22/2016,1050103,211723
469 BROOK AVENUE,BRONX,01 BRONX,Precinct 40,08,2022910044,04/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/12/2016,1007490,235511
1714 UNIVERSITY AVENUE,BRONX,05 BRONX,Precinct 46,14,2028760102,04/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/08/2016,1006942,248474
595 CRESCENT AVENUE,BRONX,06 BRONX,Precinct 48,15,2030730033,04/29/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/03/2016,1015023,250240
568 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027610026,04/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2016,998063,199431
115-19 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4095200025,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/14/2016,1032094,189171
97-18 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4089380009,09/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2017,1026323,192397
685 MEEKER AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3027070002,01/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/23/2017,1000881,202695
26-18 21 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008850038,02/05/2017,Closed,Cleaning crew dispatched.  Owner refused.,02/21/2017,1004941,220928
23-33 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008350025,11/13/2016,Closed,Cleaning crew dispatched.  Owner refused.,02/21/2017,1008137,221138
710 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3021150010,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/04/2017,991572,189193
32-02 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006140039,09/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2016,1005707,217594
6709 FIFTH AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058560020,09/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/05/2016,978633,170742
6024 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057820042,09/11/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/29/2016,979707,172191
656A EAST   52 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047720010,09/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,1004336,173947
282 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017220001,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,999239,233383
101 WEST   15 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,03,1007910036,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,985148,208234
2637 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,06,1018710052,06/26/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/03/2016,992548,229675
31 EAST   31 STREET,MANHATTAN,05 MANHATTAN,Unspecified,02,1008610027,07/04/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,988686,210963
237 WEST   13 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1006180058,05/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,983816,208318
58 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003090008,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2016,986775,200432
62 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003090010,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2016,986795,200482
169 MULBERRY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004710018,05/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2016,985069,201592
359 WEST   45 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010360001,04/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2016,987023,216108
3221 QUENTIN ROAD,BROOKLYN,18 BROOKLYN,Precinct 63,46,3077050002,07/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,1001052,162586
208 TAPSCOTT STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035490048,06/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2016,1006520,180838
266 STERLING PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011700009,09/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,992872,185482
39 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004740021,04/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/07/2016,983879,202101
2785 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,06,1018920046,04/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/06/2016,993103,231646
187 SUYDAM STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032080035,07/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1004824,194321
575 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027560029,08/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,998275,199489
57 CONSELYEA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027520001,06/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/03/2016,998399,199706
16 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026450036,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/28/2016,997678,202901
367 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027540026,05/22/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/25/2016,999617,199987
4802 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,46,3078930040,06/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/17/2016,1004054,164741
109 WILSON AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031970008,05/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/12/2016,1004569,194779
8023 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059900002,06/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,977523,167183
8422 FIFTH AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060260050,05/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,977184,166123
4823 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007740001,05/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/25/2016,981035,175146
95 NORTH    6 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023260035,04/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/05/2016,995272,201043
335 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071040258,05/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2016,992037,156827
2213 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073270044,05/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/29/2016,998348,157742
1758 79 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062720031,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/03/2016,984423,162142
5522 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008330048,09/01/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/09/2016,981749,172255
474 62 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058000035,09/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,979239,171994
42 GATLING PLACE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060530042,08/30/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/28/2016,977471,164847
290 ETNA STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041190050,10/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2016,1019463,189586
439 WEST   48 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010580011,04/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2016,986728,217166
6322 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3057410025,06/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,984992,167001
1550 MINFORD PLACE,BRONX,03 BRONX,Precinct 42,17,2029770139,05/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/17/2016,1014594,243461
310 EAST   75 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1014490038,04/08/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/13/2016,996321,220003
77 TROUTMAN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031710047,09/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1003302,193838
248 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026820036,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/03/2016,998700,202578
2765 OCEAN AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074050052,05/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/02/2016,998036,155656
88-17 104 STREET,QUEENS,09 QUEENS,Precinct 102,32,4092900070,04/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/02/2016,1027820,192176
825A MADISON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3014810065,05/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/26/2016,1005615,189907
92-52 215 PLACE,QUEENS,13 QUEENS,Precinct 105,23,4106310025,04/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/22/2016,1055659,201967
772 44 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007410037,05/21/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/04/2016,984001,174223
EAST   67 STREET & 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,05,,10/19/2016,Closed,10-90Z - Gone on Arrival,10/19/2016,995795,217850
166 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017530032,05/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/15/2016,997444,192345
1374 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032770014,11/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1006232,193788
312 TEN EYCK STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030290006,07/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/13/2016,1001712,198448
114 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004987502,04/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/30/2016,984461,202994
243 LAFAYETTE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004950005,06/01/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/23/2016,985106,202612
195-06 NORTHERN BOULEVARD,QUEENS,11 QUEENS,Precinct 111,19,4055190001,04/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/24/2016,1043398,215487
2952 FENTON AVENUE,BRONX,11 BRONX,Precinct 49,12,2045670100,04/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/18/2016,1027326,255651
1345 GUN HILL ROAD,BRONX,12 BRONX,Precinct 47,12,2047590038,04/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/18/2016,1026706,256500
4631 BRONX BOULEVARD,BRONX,12 BRONX,Precinct 47,11,2050770020,04/22/2016,Closed,Cleaning crew dispatched. No graffiti on property.,07/14/2016,1024484,268675
385 SMITH STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3004640008,03/03/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,985408,186562
212-04 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106690088,03/08/2017,Open,Site downloaded for cleaning,,1052461,203435
871 BROOK AVENUE,BRONX,03 BRONX,Precinct 42,17,2023650029,02/13/2017,Open,Site downloaded for cleaning,,1009015,239003
1258 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3052230099,03/01/2017,Open,Site downloaded for cleaning,,996821,172282
56 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004950011,02/28/2017,Open,Site downloaded for cleaning,,985288,202898
48 HANCOCK STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3020000017,02/21/2017,Open,Site downloaded for cleaning,,997062,187784
935 EAST  163 STREET,BRONX,02 BRONX,Precinct 41,17,2027030025,02/08/2017,Open,Site downloaded for cleaning,,1012855,238409
2081 EAST   19 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073240053,02/01/2017,Open,Site downloaded for cleaning,,997380,157833
5302 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3056690029,02/23/2017,Open,Site downloaded for cleaning,,985580,169928
856 EAST  180 STREET,BRONX,06 BRONX,Precinct 48,17,2031180029,02/21/2017,Open,Site downloaded for cleaning,,1016451,247357
81 FEATHERBED LANE,BRONX,05 BRONX,Precinct 46,14,2028760037,01/04/2017,Open,Site downloaded for cleaning,,1007005,247620
210 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022260029,01/13/2017,Open,Site downloaded for cleaning,,1006142,254609
715 CHURCH AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053300067,01/09/2017,Open,Site downloaded for cleaning,,991837,174501
265 EAST    7 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053300072,01/09/2017,Open,Site downloaded for cleaning,,991708,174507
1192 DEAN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012120042,01/16/2017,Open,Site downloaded for cleaning,,998044,185889
5416 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008260044,12/27/2016,Open,Site downloaded for cleaning,,982528,171985
203 EAST   38 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,04,1009190001,12/10/2016,Open,Site downloaded for cleaning,,990878,211855
2327 MERMAID AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070150051,11/03/2016,Open,Site downloaded for cleaning,,986896,149131
33-03 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,4006230107,11/01/2016,Open,Site downloaded for cleaning,,1005401,216601
1100 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016000017,11/02/2016,Open,Site downloaded for cleaning,,1003582,192192
7 CENTRE MARKET PLACE,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004710007,09/25/2016,Open,Site downloaded for cleaning,,984872,201606
4023 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3009200001,09/06/2016,Open,Site downloaded for cleaning,,984791,174829
3524 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3076970048,07/21/2016,Open,Site downloaded for cleaning,,1000713,164345
184 DEKALB AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3021020033,03/17/2017,Open,Site to be cleaned.,,991915,190511
262 CYPRESS AVENUE,BRONX,01 BRONX,Precinct 40,08,2025670007,02/13/2017,Open,Site to be cleaned.,,1007990,232931
372 UNION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027790003,03/01/2017,Open,Site to be cleaned.,,997781,198495
973 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019790055,02/11/2017,Open,Site to be cleaned.,,994211,188078
205 BLEEKER STREET,MANHATTAN,02 MANHATTAN,Precinct 6,01,1005427501,02/24/2017,Open,Site to be cleaned.,,983805,205008
8010 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,46,3080170036,03/31/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008369,170859
24 EAST   37 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,04,1008660058,03/27/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989433,212355
71 JACKSON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002430080,02/03/2017,Open,Site downloaded for cleaning,,989622,198458
21-21 44 ROAD,QUEENS,02 QUEENS,Precinct 108,26,4004390008,03/01/2017,Open,Site downloaded for cleaning,,999149,212049
7711 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3062440006,03/03/2017,Open,Site downloaded for cleaning,,981819,164800
147-16 97 AVENUE,QUEENS,12 QUEENS,Precinct 103,28,4100310007,02/12/2017,Open,Site downloaded for cleaning,,1038249,193431
626 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022670014,02/07/2017,Open,Site downloaded for cleaning,,999232,195417
1566 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2037420040,01/12/2017,Open,Site downloaded for cleaning,,1018303,241264
1123 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015840039,01/24/2017,Open,Site downloaded for cleaning,,1001845,193161
2408 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15,2031520051,01/04/2017,Open,Site downloaded for cleaning,,1012352,252649
2135 CATON AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050830012,01/02/2017,Open,Site downloaded for cleaning,,995620,177167
1897 GUERLAIN STREET,BRONX,09 BRONX,Precinct 43,18,2039520023,01/01/2017,Open,Site downloaded for cleaning,,1022052,245419
639 CLASSON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011340005,12/04/2016,Open,Site downloaded for cleaning,,995706,186534
200 MOORE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031090022,12/07/2016,Open,Site downloaded for cleaning,,1001805,195876
1619 AVENUE M,BROOKLYN,14 BROOKLYN,Precinct 70,44,3067360050,11/03/2016,Open,Site downloaded for cleaning,,995677,164488
1522 INWOOD AVENUE,BRONX,04 BRONX,Precinct 44,14,2028590018,11/09/2016,Open,Site downloaded for cleaning,,1007233,246516
1007 BEACH   20 STREET,QUEENS,14 QUEENS,Precinct 101,31,4157040001,07/12/2016,Open,Site downloaded for cleaning,,1052764,158937
57 MONTROSE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030500037,04/16/2016,Open,Site downloaded for cleaning,,998763,196828
66-05 WOODHAVEN BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,4031400006,03/29/2017,Open,Site to be cleaned.,,1022112,200940
161-02 UNION TURNPIKE,QUEENS,08 QUEENS,Precinct 107,24,4068560034,04/06/2017,Open,Site to be cleaned.,,1037962,201964
423 EAST  138 STREET,BRONX,01 BRONX,Precinct 40,08,2022830088,02/13/2017,Open,Site to be cleaned.,,1005874,233916
25-20 23 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008640041,04/07/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1007401,222318
5011 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056440006,12/27/2016,Open,Site downloaded for cleaning,,983187,172805
313 50 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007820069,01/05/2017,Open,Site downloaded for cleaning,,980370,175114
1415 73 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,43,3061900072,12/31/2016,Open,Site downloaded for cleaning,,983289,165090
330 NEW LOTS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042970002,10/25/2016,Open,Site downloaded for cleaning,,1013518,180188
282 UNION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030220001,05/02/2016,Open,Site downloaded for cleaning,,997901,197535
112 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016260043,02/24/2017,Open,Site to be cleaned.,,1003542,190599
1647 HANCOCK STREET,QUEENS,05 QUEENS,Precinct 104,34,4035480080,03/23/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1010352,193657
3587 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,13,2054270090,03/02/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1032709,241452
 WEST 110 STREET AND 7 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/04/2017,Open,Property Research Required,,,
 2346 8 avnue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/06/2017,Open,Property Research Required,,,
95A DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,,12/16/2016,Open,Property Research Required,,987239,201173
937 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,17,,09/21/2016,Open,Property Research Required,,1012778,238336
1262 EAST 109 STREET,BRONX,Unspecified BRONX,Unspecified,,,07/29/2016,Open,Property Research Required,,,
 west 155 street and edgecombe avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,06/22/2016,Open,Property Research Required,,,
825 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011410128,05/17/2016,Open,Property Research Required,,995209,186224
416 UNION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,,05/30/2016,Open,Property Research Required,,997721,198979
209 MEADOW STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,,04/08/2016,Open,Property Research Required,,1004174,198993
5732 FIELDSTON ROAD,BRONX,08 BRONX,Precinct 50,11,,04/11/2016,Open,Property Research Required,,1011722,269072
58TH 58TH ROAD,QUEENS,Unspecified QUEENS,Unspecified,,,04/13/2016,Open,Property Research Required,,,
707 EAST  216 STREET,BRONX,12 BRONX,Precinct 47,12,2046640048,02/09/2017,Open,Site downloaded for cleaning,,1022032,260375
2026 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2038057501,02/06/2017,Open,Site downloaded for cleaning,,1023906,243035
198 FLUSHING AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3018740026,01/19/2017,Open,Site downloaded for cleaning,,993047,193481
65 MACDOUGAL STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005260001,01/21/2017,Open,Site downloaded for cleaning,,983748,204670
3744 WHITEPLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046650059,11/09/2016,Open,Site downloaded for cleaning,,1022055,260897
257 EVERGREEN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032430001,03/27/2017,Open,Site to be cleaned.,,1004602,192778
940 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,17,2025990069,01/24/2017,Pending,Cleaning crew dispatched.  Property cleaned.,01/19/2017,1011187,233525
632 CATON AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053290104,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2016,991404,175249
11-44 47 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4000570040,04/12/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/15/2016,998179,210640
122-28 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,28,4117160039,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/14/2016,1035473,185473
