INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
527 EAST    5 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004010050,06/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,988790,203247
61-20 LAUREL HILL BOULEVARD,QUEENS,02 QUEENS,Precinct 108,30,4023340025,07/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/26/2016,1011021,208197
19-46 75 STREET,QUEENS,01 QUEENS,Precinct 114,22,4009420061,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/23/2016,1013361,220356
41-22 45 STREET,QUEENS,02 QUEENS,Precinct 108,26,4001570032,05/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/23/2016,1006692,211222
111 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3022980008,05/24/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/06/2016,996605,201581
160 BUSH STREET,BRONX,05 BRONX,Precinct 46,14,2028080066,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/22/2016,1010468,249647
803 HALSEY STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3014910067,06/28/2016,Closed,10-91 - Non-Crime Corrected,06/28/2016,1006411,188936
1798 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013360046,01/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2017,1003527,186084
773 LYDIG AVENUE,BRONX,11 BRONX,Precinct 49,13,2043200058,10/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2016,1021609,250607
30 WEST   48 STREET,MANHATTAN,05 MANHATTAN,Precinct 18,04,1012630055,04/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2016,989862,215424
2239 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,09,0000000000,05/02/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/23/2016,999414,235557
7505 20 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3062290007,03/22/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,986507,161783
2121 AVENUE Z,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074410332,03/23/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998682,153748
156 HALL STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019040033,03/01/2017,Open,Site downloaded for cleaning,,993721,191787
9-01 40 AVENUE,QUEENS,01 QUEENS,Precinct 114,26,4004750008,02/13/2017,Open,Site downloaded for cleaning,,999501,215174
1043 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,3052320060,02/14/2017,Open,Site downloaded for cleaning,,993480,169620
944 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3054070045,02/21/2017,Open,Site downloaded for cleaning,,990559,169258
882 EAST  180 STREET,BRONX,06 BRONX,Precinct 48,17,2031230056,02/21/2017,Open,Site downloaded for cleaning,,1016655,247225
302 STUYVESANT AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016600038,02/20/2017,Open,Site downloaded for cleaning,,1003008,188649
2 WHITE STREET,MANHATTAN,01 MANHATTAN,Precinct 1,01,1001910013,01/30/2017,Open,Site downloaded for cleaning,,982590,201368
7213 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061890004,01/26/2017,Open,Site downloaded for cleaning,,982649,165846
246 EAST   23 STREET,MANHATTAN,06 MANHATTAN,Precinct 13,02,1009030036,01/26/2017,Open,Site downloaded for cleaning,,989216,208286
340 EAST    6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004470026,01/20/2017,Open,Site downloaded for cleaning,,987712,204127
23-01 24 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008750008,01/03/2017,Open,Site downloaded for cleaning,,1006295,221946
201 WEST  147 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1020330029,01/20/2017,Open,Site downloaded for cleaning,,1001239,239178
1980 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019250029,12/20/2016,Open,Site downloaded for cleaning,,997814,232681
